,subtaskname,minx,maxy,maxx,miny
113,L8-OLI-123-032-20180408-LSR7_8,474765.0,4480245.0,490125.0,4464885.0
114,L8-OLI-123-032-20180408-LSR7_9,489375.0,4480245.0,504735.0,4464885.0
115,L8-OLI-123-032-20180408-LSR7_10,503985.0,4480245.0,519345.0,4464885.0
116,L8-OLI-123-032-20180408-LSR7_11,518595.0,4480245.0,533955.0,4464885.0
117,L8-OLI-123-032-20180408-LSR7_12,533205.0,4480245.0,548565.0,4464885.0
118,L8-OLI-123-032-20180408-LSR7_13,547815.0,4480245.0,563175.0,4464885.0
119,L8-OLI-123-032-20180408-LSR7_14,562425.0,4480245.0,577785.0,4464885.0
120,L8-OLI-123-032-20180408-LSR8_0,357885.0,4465635.0,373245.0,4450275.0
121,L8-OLI-123-032-20180408-LSR8_1,372495.0,4465635.0,387855.0,4450275.0
122,L8-OLI-123-032-20180408-LSR8_2,387105.0,4465635.0,402465.0,4450275.0
123,L8-OLI-123-032-20180408-LSR8_3,401715.0,4465635.0,417075.0,4450275.0
124,L8-OLI-123-032-20180408-LSR8_4,416325.0,4465635.0,431685.0,4450275.0
125,L8-OLI-123-032-20180408-LSR8_5,430935.0,4465635.0,446295.0,4450275.0
126,L8-OLI-123-032-20180408-LSR8_6,445545.0,4465635.0,460905.0,4450275.0
127,L8-OLI-123-032-20180408-LSR8_7,460155.0,4465635.0,475515.0,4450275.0
128,L8-OLI-123-032-20180408-LSR8_8,474765.0,4465635.0,490125.0,4450275.0
129,L8-OLI-123-032-20180408-LSR8_9,489375.0,4465635.0,504735.0,4450275.0
130,L8-OLI-123-032-20180408-LSR8_10,503985.0,4465635.0,519345.0,4450275.0
131,L8-OLI-123-032-20180408-LSR8_11,518595.0,4465635.0,533955.0,4450275.0
132,L8-OLI-123-032-20180408-LSR8_12,533205.0,4465635.0,548565.0,4450275.0
133,L8-OLI-123-032-20180408-LSR8_13,547815.0,4465635.0,563175.0,4450275.0
134,L8-OLI-123-032-20180408-LSR8_14,562425.0,4465635.0,577785.0,4450275.0
135,L8-OLI-123-032-20180408-LSR9_0,357885.0,4451025.0,373245.0,4435665.0
136,L8-OLI-123-032-20180408-LSR9_1,372495.0,4451025.0,387855.0,4435665.0
137,L8-OLI-123-032-20180408-LSR9_2,387105.0,4451025.0,402465.0,4435665.0
138,L8-OLI-123-032-20180408-LSR9_3,401715.0,4451025.0,417075.0,4435665.0
139,L8-OLI-123-032-20180408-LSR9_4,416325.0,4451025.0,431685.0,4435665.0
140,L8-OLI-123-032-20180408-LSR9_5,430935.0,4451025.0,446295.0,4435665.0
141,L8-OLI-123-032-20180408-LSR9_6,445545.0,4451025.0,460905.0,4435665.0
142,L8-OLI-123-032-20180408-LSR9_7,460155.0,4451025.0,475515.0,4435665.0
143,L8-OLI-123-032-20180408-LSR9_8,474765.0,4451025.0,490125.0,4435665.0
144,L8-OLI-123-032-20180408-LSR9_9,489375.0,4451025.0,504735.0,4435665.0
145,L8-OLI-123-032-20180408-LSR9_10,503985.0,4451025.0,519345.0,4435665.0
146,L8-OLI-123-032-20180408-LSR9_11,518595.0,4451025.0,533955.0,4435665.0
147,L8-OLI-123-032-20180408-LSR9_12,533205.0,4451025.0,548565.0,4435665.0
148,L8-OLI-123-032-20180408-LSR9_13,547815.0,4451025.0,563175.0,4435665.0
149,L8-OLI-123-032-20180408-LSR9_14,562425.0,4451025.0,577785.0,4435665.0
150,L8-OLI-123-032-20180408-LSR10_0,357885.0,4436415.0,373245.0,4421055.0
151,L8-OLI-123-032-20180408-LSR10_1,372495.0,4436415.0,387855.0,4421055.0
152,L8-OLI-123-032-20180408-LSR10_2,387105.0,4436415.0,402465.0,4421055.0
153,L8-OLI-123-032-20180408-LSR10_3,401715.0,4436415.0,417075.0,4421055.0
154,L8-OLI-123-032-20180408-LSR10_4,416325.0,4436415.0,431685.0,4421055.0
155,L8-OLI-123-032-20180408-LSR10_5,430935.0,4436415.0,446295.0,4421055.0
